unit_id,name,attack,defense,min_dmg,max_dmg,hp,speed,ai_value,is_flyer,is_shooter,no_retaliation,is_undead,is_spellcaster,breath_attack,double_attack,is_two_hex,spell_id,spell_resist
1,Pikeman,4.0,5.0,1.0,3.0,10.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Halberdier,6.0,5.0,2.0,3.0,10.0,5.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Archer,6.0,3.0,2.0,3.0,10.0,4.0,126.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Marksman,6.0,3.0,2.0,3.0,10.0,6.0,184.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Griffin,8.0,8.0,3.0,6.0,25.0,6.0,351.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Royal Griffin,9.0,9.0,3.0,6.0,25.0,9.0,448.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Swordsman,10.0,12.0,6.0,9.0,35.0,5.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Crusader,12.0,12.0,7.0,10.0,35.0,6.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,Monk,12.0,7.0,10.0,12.0,30.0,5.0,582485.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Zealot,12.0,10.0,10.0,12.0,30.0,7.0,750.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Cavalier,15.0,15.0,15.0,25.0,100.0,7.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,Champion,16.0,16.0,20.0,25.0,100.0,9.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,Angel,20.0,20.0,50.0,50.0,200.0,12.0,5019.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Archangel,30.0,30.0,50.0,50.0,250.0,18.0,8776.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,Centaur,5.0,3.0,2.0,3.0,8.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,Centaur Captain,6.0,3.0,2.0,3.0,10.0,8.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Dwarf,6.0,7.0,2.0,4.0,20.0,3.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Battle Dwarf,7.0,7.0,2.0,4.0,20.0,5.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Wood Elf,9.0,5.0,3.0,5.0,15.0,6.0,234.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Grand Elf,9.0,5.0,3.0,5.0,15.0,7.0,331.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,Pegasus,9.0,8.0,5.0,9.0,30.0,8.0,518.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,Silver Pegasus,9.0,10.0,5.0,9.0,30.0,12.0,532.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,Dendroid Guard,9.0,12.0,10.0,14.0,55.0,3.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Dendroid Soldier,9.0,12.0,10.0,14.0,65.0,4.0,803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Unicorn,15.0,14.0,18.0,22.0,90.0,7.0,1806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,War Unicorn,15.0,14.0,18.0,22.0,110.0,9.0,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,Green Dragon,18.0,18.0,40.0,50.0,180.0,10.0,4872.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28,Gold Dragon,27.0,27.0,40.0,50.0,250.0,16.0,8613.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
29,Gremlin,3.0,3.0,1.0,2.0,4.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Master Gremlin,4.0,4.0,1.0,2.0,4.0,5.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Stone Gargoyle,6.0,6.0,2.0,3.0,16.0,6.0,165.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Obsidian Gargoyle,7.0,7.0,2.0,3.0,16.0,9.0,201.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Stone Golem,7.0,10.0,4.0,5.0,30.0,3.0,250.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Iron Golem,9.0,10.0,4.0,5.0,35.0,5.0,412.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Mage,11.0,8.0,7.0,9.0,25.0,5.0,570.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Arch Mage,12.0,9.0,7.0,9.0,30.0,7.0,680.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Genie,12.0,12.0,13.0,16.0,40.0,7.0,884.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Master Genie,12.0,12.0,13.0,16.0,40.0,11.0,942.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,Naga,16.0,13.0,20.0,20.0,110.0,5.0,2016.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,Naga Queen,16.0,13.0,30.0,30.0,110.0,7.0,2840.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,Giant,19.0,16.0,40.0,60.0,150.0,7.0,3718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Titan,24.0,24.0,40.0,60.0,300.0,11.0,7500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Imp,2.0,3.0,1.0,2.0,4.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Familiar,4.0,4.0,1.0,2.0,4.0,7.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Gog,6.0,4.0,2.0,4.0,13.0,4.0,159.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Magog,7.0,4.0,2.0,4.0,13.0,6.0,240.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Hell Hound,10.0,6.0,2.0,7.0,25.0,7.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,Cerberus,10.0,8.0,2.0,7.0,25.0,8.0,392.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,Demon,10.0,10.0,7.0,9.0,35.0,5.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Horned Demon,10.0,10.0,7.0,9.0,40.0,6.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Pit Fiend,13.0,13.0,13.0,17.0,45.0,6.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Pit Lord,13.0,13.0,13.0,17.0,45.0,7.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Efreeti,16.0,12.0,16.0,24.0,90.0,9.0,1670.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Efreet Sultan,16.0,14.0,16.0,24.0,90.0,13.0,23431848.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Devil,19.0,21.0,30.0,40.0,160.0,11.0,5101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Arch Devil,26.0,28.0,30.0,40.0,200.0,17.0,7115.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Skeleton,5.0,4.0,1.0,3.0,6.0,4.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Skeleton Warrior,6.0,6.0,1.0,3.0,6.0,5.0,85.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
